speaker,time,row_index,pitchValue,intensityValue,formant_1,formant_2,formant_3,mfcc_1,mfcc_2,mfcc_3
Reference Values provided by Simon,,,,,,,,,,
CA1HA_87,299.84,1,122.54598544947312,83.17472411560212,316.7089504776361,1201.6227669754808,2457.9901302451763,,,
CA1HA_87,300.085,2,--undefined--,77.38599421227316,641.7002750400084,1337.0635932084465,1716.969645037327,,,
CA1HA_87,300.16,3,120.74667511861244,82.02246072548051,576.6456906481952,1775.779474,1818.2050933244004,,,
CA1HA_87,300.23,4,122.37053814047395,80.90742609723351,508.5398069,1545.8012604579023,1966.0304357665702,,,
CA1HA_87,300.295,5,120.21308303483555,81.10233825035561,333.6650313392043,1524.1566740903065,1856.4310257111013,,,
CA1HA_87,300.355,6,122.43627520148118,80.36552949916859,602.2408166952015,1574.8470120337486,1689.8854183438068,,,
CA1HA_87,300.405,7,145.7297828216592,83.39748415765861,533.7475382493385,1347.2162065108444,2223.4813783268132,,,
CA1HA_87,300.445,8,158.06483023819138,82.25547229845134,461.8752454592148,880.2531353357992,1708.7849413832691,,,
CA1HA_87,300.485,9,132.7112001279885,80.71261961205451,327.72352743160417,1289.1335483111563,1817.1200819814135,,,
CA1HA_87,300.53,10,--undefined--,72.25436758,428.7428907796127,1219.819586,1898.4239833329505,,,
CA1HA_87,300.57,11,179.0415770609575,82.26505083742575,477.7639112564134,1036.049331663229,2150.7255292130744,,,
,,,,,,,,,,
Values generated by Python,,,,,,,,,,
CA1HA_87,299.84,1,126.28804411540501,84.49198945953651,274.6471711,1132.9575244403502,2329.344965902585,-177.8432617,149.05337524414062,44.406707763671875
CA1HA_87,300.085,2,118.59537375824985,81.86796470205287,321.56357414466015,1121.9974162951405,2340.324953290004,-157.5882416,162.41055297851562,29.755586624145508
CA1HA_87,300.16,3,,75.41498454795375,460.7095284092968,1737.270049884204,1944.452817548342,-112.0653305,157.7731475830078,-31.22658539
CA1HA_87,300.23,4,116.37785206865568,81.18765525298518,681.4380226666754,1664.2691425235623,2257.369050835941,-48.43554688,121.7322006225586,-36.16245651
CA1HA_87,300.295,5,121.83703515990844,80.76227694642793,498.58088670519015,1827.5361046305536,2333.2325007468557,-46.63560486,98.53630065917969,-9.968651772
CA1HA_87,300.355,6,119.64702895545372,79.68370951,478.82275164565806,1836.6699810766227,2253.866531524728,-94.03912354,122.07829284667969,8.701124191
CA1HA_87,300.405,7,120.00286152032106,80.88012985872045,358.6925350162212,1479.4001988041518,1897.2958332172973,-55.31480026,117.97372436523438,-9.645851135
CA1HA_87,300.445,8,122.90470740049332,81.50304899991995,595.1794477488331,1496.9041242948974,2411.9042775121625,-55.8559494,139.04095458984375,-37.53102875
CA1HA_87,300.485,9,128.90947314122667,80.55694126551609,557.2880298,1694.2618550857137,1782.7178278801057,-59.82745743,132.21083068847656,-23.12015152
CA1HA_87,300.53,10,150.27190640897808,83.23798662608131,455.90396854469446,1243.0680260126157,1815.2458270162215,-61.16117477,117.65119171142578,7.344297409057617
CA1HA_87,300.57,11,162.18240483841208,82.14596706507903,395.4476362263564,1525.5669035247622,1868.7072943880703,-140.7892456,153.6599121,3.3504581451416016